Fecha,Moneda,Precio,Variación 24h,Variación 7d,Valor de mercado,Volumen,En circulación
28/03/2021,Bitcoin,"$55,813.36",0.64,2.75,"$1,041,866,872,736","$48,869,021,190","18,666,981 BTC"
28/03/2021,Ethereum,"$1,693.54",1.16,5.48,"$195,159,267,966","$16,609,297,998","115,237,542 ETH"
28/03/2021,Binance Coin,$266.70,0.13,1.12,"$41,214,617,731","$2,650,884,255","154,532,785 BNB"
28/03/2021,Tether,$1.00,0.14,0.19,"$40,547,246,680","$70,296,039,705","40,475,941,170 USDT"
28/03/2021,Cardano,$1.18,0.39,1.86,"$37,849,800,128","$2,439,905,332","31,948,309,441 ADA"
28/03/2021,Polkadot,$32.10,1.55,13.52,"$29,662,778,454","$1,171,617,671","923,970,287 DOT"
28/03/2021,XRP,$0.55,1.41,8.78,"$24,973,123,463","$2,998,047,122","45,404,028,640 XRP"
28/03/2021,Uniswap,$28.07,1.41,13.54,"$14,651,822,097","$405,088,659","521,989,892 UNI"
28/03/2021,THETA,$12.60,5.71,34.89,"$12,598,421,652","$675,337,012","1,000,000,000 THETA"
28/03/2021,Litecoin,$183.84,0.09,6.80,"$12,271,587,511","$2,214,693,203","66,751,790 LTC"
29/03/2021,Bitcoin,"$55,813.36",0.64,2.75,"$1,041,866,872,736","$48,869,021,190","18,666,981 BTC"
29/03/2021,Ethereum,"$1,693.54",1.16,5.48,"$195,159,267,966","$16,609,297,998","115,237,542 ETH"
29/03/2021,Binance Coin,$266.70,0.13,1.12,"$41,214,617,731","$2,650,884,255","154,532,785 BNB"
29/03/2021,Tether,$1.00,0.14,0.19,"$40,547,246,680","$70,296,039,705","40,475,941,170 USDT"
29/03/2021,Cardano,$1.18,0.39,1.86,"$37,849,800,128","$2,439,905,332","31,948,309,441 ADA"
29/03/2021,Polkadot,$32.10,1.55,13.52,"$29,662,778,454","$1,171,617,671","923,970,287 DOT"
29/03/2021,XRP,$0.55,1.41,8.78,"$24,973,123,463","$2,998,047,122","45,404,028,640 XRP"
29/03/2021,Uniswap,$28.07,1.41,13.54,"$14,651,822,097","$405,088,659","521,989,892 UNI"
29/03/2021,THETA,$12.60,5.71,34.89,"$12,598,421,652","$675,337,012","1,000,000,000 THETA"
29/03/2021,Litecoin,$183.84,0.09,6.80,"$12,271,587,511","$2,214,693,203","66,751,790 LTC"
